,Cat.,Subject,Num,Den,Ref.,RL|NL,RL|NS,RL|DL,RL|DS,n (x1000)
213,T,Tangent ML,NA,NA,224,0.459459459,0.540540541,0.276995305,0.723004695,0.48
240,T,Vel.,metres,seconds,,0.65448455,0.344549183,0.456132025,0.542897206,93.64
241,T,Vel. BU,metres,seconds,217,0.733436055,0.266563945,0.453312467,0.546687533,3.97
242,T,Vel. HM,metres,seconds,218,0.586046512,0.409302326,0.442857143,0.552380952,0.9
243,T,Vel. SF,metres,seconds,"219,220",0.629939369,0.368388041,0.466115875,0.532210835,19.32
244,T,Vel. TIP,metres,seconds,"221,222",0.662212324,0.337045286,0.460496614,0.538750941,5.48
263,T,FracCmp KA,NA,NA,232,0.84,0.16,0.68,0.32,0.07
264,T,FracCmp HSM,NA,NA,233,0.73,0.27,0.48,0.52,0.4
265,T,FracCmp KF,NA,NA,"229,230",0.72,0.28,0.72,0.28,0.07
266,T,FracCmp AW,NA,NA,226,0.88,0.12,0.88,0.12,0.02
267,T,FracCmp AB,NA,NA,225,0.6,0.4,0.48,0.52,0.02
268,T,FracCmp CG,NA,NA,227,0.6,0.4,0.54,0.46,0.04
269,T,FracCmp IG,NA,NA,228,0.71,0.29,0.66,0.34,0.06
270,T,FracCmp NCERT,NA,NA,231,0.63,0.37,0.48,0.52,0.03
271,T,Stats BI,People,People,234,0.8,0.2,0.3,0.4,0.01
272,T,Stats BI2,People,People,235,0.5,0.5,0.5,0.5,0.01
273,T,Stats CM,People,People,236,0.95,0,0.42,0.58,0.02
274,T,Stats DM,People,People,237,0.71,0.25,0.48,0.5,0.05
275,T,Stats DD,People,People,238,1,0,0.17,0.17,0.01
276,T,Stats JD,People,People,239,0.71,0.29,0.57,0.43,0.01
277,T,Stats PN,People,People,240,0.58,0.43,0,0.72,0.01
278,T,Stats RL,People,People,241,0.43,0.43,0.14,0.86,0.01
279,T,Stats SR,People,People,242,0.7,0.29,0.29,0.35,0.02
280,T,Stats WM,People,People,243,0.83,0.17,0.83,0.17,0.01
281,T,Stats WN,People,People,244,0.66,0.33,0.33,0.33,0.01
